Model,Val Accuracy,Val Precision,Val Recall,Val F1-Score,Train Time (s),Predict Time (s)
CNN with Data Augmentation,0.9558404558404558,0.9568175756227314,0.9558404558404558,0.9559769635849024,380.08506059646606,3.170921564102173
CNN w/o Data Augmentation,0.9509,0.9513,0.9509,0.9509,285.28,2.63
